제목, 저자, 출판사, 정가, 판매가, 출간일
데이터사이언스를 위한 기초수학 with 파이썬,박민서,길벗캠퍼스,27000,27000,2023-01-17
파이썬 라이브러리를 활용한 머신러닝,안드레아스 뮐러/세라 가이도,한빛미디어,33000,29700,2022-02-25
파이썬 코딩 도장,남재윤,길벗,25000,22500,2018-11-30
마야 파이썬 - 3D를 위한 파이썬,신동선,e퍼플,19000,-1,2019-09-06
마야 파이썬 - 3D를 위한 파이썬,신동선,퍼플,25000,25000,2019-09-16
공학도를 위한 파이썬 프로그래밍,David E. Clough/Steven C. Chapra,학산미디어,33000,33000,2023-11-21
케라스 창시자에게 배우는 딥러닝(Deep Learning with Python),프랑소와 숄레,길벗,33000,29700,2018-10-22
파이썬을 활용한 금융 분석: 파이썬의 기초부터 금융공학, 머신러닝, 퀀트...,이브 힐피시,한빛미디어,45000,40500,2022-03-31
파이썬 튜토리얼 개발자를 위한 파이썬,장혜진,도서출판 홍릉(홍릉과학출판사),32000,32000,2019-02-25
파이썬 웹 프로그래밍: 기초편,김석훈,한빛미디어,26000,23400,2022-11-01
파이썬 크래시 코스,Matthes Eric,한빛미디어,39000,35100,2023-08-03
파이썬 생활밀착형 프로젝트,김효실,로드북,25000,22500,2021-06-16
파이썬을 이용한 통계적 머신러닝,박유성,자유아카데미,38000,38000,2023-10-25
이기적 파이썬마스터 2ㆍ3급 기본서,이민경/최경희,영진닷컴,22000,19800,2023-07-20
따라하며 배우는 파이썬과 데이터 과학,천인국/박동규/강영민,생능출판,29000,29000,2023-11-20
파이썬 코딩 도장,남재윤,길벗,30000,27000,2023-01-30
기초 정수론과 파이썬,최근배/최은선/박남제,홍릉,22000,22000,2023-10-05
두근두근 파이썬,천인국,생능출판,24000,23280,2017-01-16
파이썬으로 공부하는 블록체인,일등박사,비제이퍼블릭,25000,22500,2023-08-03
나도 하는 파이썬 데이터 분석,김규석/김현정,한빛미디어,22000,19800,2023-03-10
파이썬 알고리즘 인터뷰,박상길,책만,38000,34200,2020-07-15
파이썬을 활용한 베이지안 통계,앨런 B. 다우니,한빛미디어,32000,28800,2022-06-30
난생처음 파이썬 프로그래밍,우재남/최민아,한빛아카데미,24000,24000,2021-06-28
한 권으로 끝내는 아두이노와 파이썬으로 52개 작품 만들기,장문철/박준원,앤써북,22000,19800,2023-07-10
파이썬 인공지능 자율주행 자동차,서민우/코코랩스,앤써북,22000,19800,2023-11-30
데이터 과학을 위한 파이썬과 R,Scavetta Rick J./Angelov Boyan,한빛미디어,18000,16200,2022-10-28
파이썬 코딩의 기술,브렛 슬라킨,길벗,32000,28800,2020-10-30
선형대수와 통계학으로 배우는 머신러닝 with 파이썬,장철원,비제이퍼블릭,37500,33750,2021-01-26
파이썬 생활 프로젝트 코딩,서승희,길벗,18000,16200,2023-08-25
초보자를 위한 파이썬(Python) 200제,장삼용,정보문화사,20000,18000,2017-02-27
알고리즘 중심의 머신러닝 가이드,스티븐 마슬랜드,제이펍,32000,28800,2016-12-28
파이썬 초보 학습자를 위한 4시간에 배우는 파이썬 기초문법,이원영/최종헌,오미글로벌,3000,-1,2019-11-26
HEAD FIRST PROGRAMMING,폴 배리/데이빗 그리피스,한빛미디어,26000,23400,2011-03-25
고성능 파이썬,미샤 고렐릭/이안 오스발트,한빛미디어,36000,32400,2021-05-10
이토록 쉬운 오렌지3 데이터 분석 with 파이썬,임선집/채호창/곽랑주,루비페이퍼,28000,25200,2023-02-28
머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로,세바스찬 라시카/바히드 미자리리,길벗,44000,39600,2021-03-31
자바와 파이썬으로 만드는 빅데이터 시스템,황세규,제이펍,30000,27000,2023-05-08
게임으로 배우는 파이썬,다나카 겐이치로,영진닷컴,17000,15300,2019-03-29
마인크래프트로 배우는 파이썬 입문,카지마 유헤이,에이케이커뮤니케이션즈,19800,17820,2023-11-25
난생처음 데이터 분석 with 파이썬,김규석/김주희/이준,한빛아카데미,26000,23400,2023-07-24
파이썬을 이용한 AWS 가이드   파이썬과 Boto로 클라우드 관리하기,미치 가나트,한빛미디어,9900,-1,2015-05-18
모두의 파이썬,이승찬,길벗,12000,10800,2018-10-09
파이썬으로 쉽게 배우는 자료구조,최영규/천인국,생능출판,29000,29000,2023-06-26
작심 3일 파이썬 Python,황덕창,스포트라잇북,18000,16200,2019-04-25
파이썬 텍스트 마이닝 완벽 가이드,박상언/강주영,위키북스,30000,27000,2023-02-28
금융 파이썬 완전 정복,제임스 마 와이밍,에이콘출판,40000,36000,2023-08-31
파이썬 데이터 사이언스 핸드북,제이크 밴더플래스,위키북스,38000,34200,2023-03-30
파이썬·케라스로 시작하는 AI 기초,천상훈,복두출판사,18000,18000,2023-08-25
제대로 빠르게 파이썬 입문,마츠우라 켄이치로/츠카사 유키,에이케이커뮤니케이션즈,29800,26820,2023-05-15
쓸모 있는 파이썬 프로그램 40개,심교훈,로드북,30000,27000,2023-06-20
파이썬 올인원,이지민/임희경,연두에디션,23000,20700,2023-09-04
셜록 홈즈 만화로 배우는 파이썬 : 8주 안에 끝내는 가장 쉬운 파이썬,정준우 김민기 공저,페스트북,19200,19200,2021-11-19
한 권으로 끝내는 아두이노와 파이썬으로 52개 작품 만들기,장문철/박준원,앤써북,22000,19800,2022-03-30
2024 내일은 빅데이터분석기사 실기 with 파이썬,Jade Jeong,김앤북,23000,20700,2023-10-30
일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기,포스코인재창조원,한빛미디어,24000,21600,2022-04-25
Do it! 첫 코딩 with 파이썬,정동균,이지스퍼블리싱,18000,16200,2021-01-15
두근두근 파이썬,천인국,생능출판,25000,25000,2023-01-05
누구나 쉽게 할 수 있는 소프트웨어 설계와 파이썬,정화영,자유아카데미,34000,34000,2023-11-05
문제해결 파이썬 with 기본 수학,이경미/이수연/안주연,길벗,20000,18000,2023-06-20
Do it! 자료구조와 함께 배우는 알고리즘 입문: 파이썬 편,시바타 보요,이지스퍼블리싱,22000,19800,2020-07-20
파이썬과 엑셀로 시작하는 딥러닝,홍재권/윤동현/이승준,정보문화사,25000,22500,2023-07-25
거니의 문과 감성 실용 파이썬,이건희,길벗,22000,19800,2023-01-20
한 권으로 끝내는 코딩테스트 with 파이썬,윤성환,상상아카데미,38000,34200,2023-08-14
파이썬 자동화 교과서,구지라 히코즈쿠에,제이펍,27000,24300,2022-07-19
파이썬 라이브러리를 활용한 데이터 분석,웨스 맥키니,한빛미디어,35000,31500,2019-05-20
라즈베리파이 피코, 마이크로파이썬을 만나다,허경용,제이펍,25000,22500,2022-12-14
모두의 인공지능 with 파이썬,이영호,길벗,22000,19800,2020-12-30
예제가 가득한 파이썬 길라잡이,유연수,정보문화사,25000,22500,2023-05-25
파이썬 for Beginner,우재남,한빛아카데미,25000,25000,2022-01-03
The Python Standard Library by Example(한국어판),더그 헬먼,에이콘출판,50000,45000,2012-06-07
PySpark 배우기,토마스 드라바스/데니 리,에이콘출판,30000,27000,2017-10-30
객체지향 파이썬 프로그래밍,스티븐 로트,에이콘출판,45000,40500,2023-05-31
코딩 뇌를 깨우는 파이썬,존 V. 구태그,한빛미디어,35000,31500,2023-08-30
파이썬으로 배우는 음성인식,다카시마 료이치,비제이퍼블릭,27000,24300,2023-01-09
파이썬을 이용한 비트코인 자동매매,유대표/조대표,파이스탁,27000,24300,2021-03-22
